"gameId","playId","gunnerTeam","gunnerId","gunnerName","viseTeam","viseId","viseName","timeToBeatVise","firstManDown","disFromLOS","disFromReturner","speedDev","topSpeed","tackle","missedTackle","squeezeDis","returnYds","specialTeamsResult","release","correctRelease","fairCatch"
2018123000,892,"CLE",46672,"Tavierre Thomas","BAL",46187,"Anthony Averett",4.1,1,40.55,13.2930997137613,3.14202488791391,10.41,0,0,NA,0,"Fair Catch","0","1",1
2018123000,2502,"BAL",43396,"Chris Moore","CLE",43407,"Juston Burris",9.8,1,33.64,19.0732404168772,2.97338975491196,9.62,0,0,13.0428260869565,37,"Return","1","1",0
2018123000,2975,"CLE",46672,"Tavierre Thomas","BAL",46187,"Anthony Averett",4.6,1,38.23,14.9300837238108,3.53111708653053,10.48,0,0,NA,0,"Fair Catch","0","1",1
2018123000,3106,"BAL",43498,"Maurice Canady","CLE",43407,"Juston Burris",8.6,1,27.92,31.8277928860925,2.47170099215237,8.02,0,0,4.22,8,"Return","1","1",0
2018123000,4148,"BAL",46187,"Anthony Averett","CLE",43407,"Juston Burris",4.6,1,35.09,28.9882407192986,3.40003486887372,9.73,0,0,3.85227272727273,1,"Return","0","1",0
2018123001,1223,"MIA",41354,"Walt Aikens","BUF",43737,"Lafayette Pitts",7.2,1,30.42,5.21460449123421,1.83186878471309,6.87,0,0,-0.738,0,"Return","1","1",0
2018123001,1326,"BUF",46223,"Siran Neal","MIA",42488,"Bobby McCain",5.6,1,27.42,17.4163629957578,3.22234697076525,9.86,1,0,6.0815,8,"Return","0","1",0
2018123001,1445,"MIA",46278,"Cornell Armstrong","BUF",46698,"Levi Wallace",5.1,1,28.21,4.8939145885477,3.03191955520893,9.84,0,0,NA,0,"Fair Catch","1","1",1
2018123001,1538,"BUF",46223,"Siran Neal","MIA",42488,"Bobby McCain",3.6,1,27.96,6.45006976706454,3.05750771064823,8.7,1,0,2.536,1,"Return","1","1",0
2018123001,2289,"MIA",41354,"Walt Aikens","BUF",42719,"Denzel Rice",7.4,1,42.21,11.5737331920172,3.00663819563256,9.75,0,0,11.1977192982456,9,"Return","0","0",0
2018123001,3338,"BUF",42719,"Denzel Rice","MIA",46278,"Cornell Armstrong",3.7,1,41.68,3.95800454774877,3.00940744984709,10.73,0,0,NA,0,"Fair Catch","1","1",1
2018123002,1499,"GB",46202,"J'Mon Moore","DET",46823,"Mike Ford",3.5,1,41.93,6.48623928019928,2.82832286706886,9.86,0,0,NA,0,"Fair Catch","1","1",1
2018123002,2362,"GB",46202,"J'Mon Moore","DET",40200,"Marcus Cooper",8.9,1,41.91,6.82525457400675,2.22375925986373,9.85,0,0,12.3216393442623,25,"Return","1","1",0
2018123002,2503,"DET",45657,"Dee Virgin","GB",46724,"Tony Brown",4.2,1,34.41,15.8430426370694,2.66286792306467,9.21,0,0,NA,0,"Fair Catch","0","0",1
2018123002,3146,"DET",45657,"Dee Virgin","GB",46724,"Tony Brown",4.4,1,43.2,4.19042957225151,3.00009111964795,10.48,0,1,7.96530612244898,0,"Return","0","0",0
2018123003,1209,"JAX",46707,"Quenton Meeks","HOU",39012,"Johnson Bademosi",6.5,1,38.61,9.90016161484246,2.27435310970024,8.8,0,0,-3.49820512820513,11,"Return","0","0",0
2018123003,1560,"JAX",46707,"Quenton Meeks","HOU",39012,"Johnson Bademosi",8.3,1,43.14,13.2158427654085,2.6809448559149,9.87,0,0,-1.8972972972973,1,"Return","0","0",0
2018123003,2252,"JAX",46707,"Quenton Meeks","HOU",39012,"Johnson Bademosi",4.8,1,53.27,5.67115508516562,2.92576249470776,10.1,0,0,NA,0,"Fair Catch","0","1",1
2018123003,2679,"JAX",46707,"Quenton Meeks","HOU",39012,"Johnson Bademosi",4.2,1,40.89,6.15018698902724,2.79723124101211,9.65,0,0,NA,0,"Fair Catch","0","0",1
2018123003,2867,"HOU",39012,"Johnson Bademosi","JAX",46707,"Quenton Meeks",3.3,1,40.52,4.3955090717686,2.78798367918317,9.5,0,0,NA,0,"Fair Catch","1","1",1
2018123003,3020,"JAX",46710,"C.J. Reavis","HOU",45070,"Deante Burton",7.6,1,44.8,2.25197690929548,2.75664699242487,9.49,0,0,NA,0,"Fair Catch","0","0",1
2018123003,3377,"JAX",46707,"Quenton Meeks","HOU",39012,"Johnson Bademosi",9.8,1,35.98,19.4849608672946,2.35492492616378,8.59,1,0,4.67246376811594,30,"Return","0","0",0
2018123003,3512,"HOU",46778,"A.J. Moore","JAX",46700,"Tre Herndon",5.8,1,32.82,5.47156284803528,2.55669774283436,8.95,0,0,NA,0,"Fair Catch","1","0",1
2018123004,465,"KC",46265,"Tremon Smith","OAK",44836,"Gareon Conley",3.1,1,28.92,6.14886168327114,2.60326678708154,9.06,0,0,NA,0,"Fair Catch","1","1",1
2018123005,639,"MIN",43533,"Jayron Kearse","CHI",42350,"Kevin White",6.2,1,50.85,6.44810049549478,3.05311290482472,10.11,0,0,NA,0,"Fair Catch","0","0",1
2018123005,1649,"MIN",43533,"Jayron Kearse","CHI",42350,"Kevin White",5.7,1,31.74,17.1054055783545,2.55207341019411,8.37,0,0,NA,0,"Fair Catch","1","1",1
2018123005,2386,"CHI",45265,"Taquan Mizzell","MIN",43343,"Mackensie Alexander",4.1,1,39.09,3.23396042028965,2.56931795003464,9.69,0,0,NA,0,"Fair Catch","1","1",1
2018123006,217,"NE",43700,"Jonathan Jones","NYJ",43422,"Rashard Robinson",5.7,1,26.62,17.8955329621668,2.5509553681853,8.78,0,0,NA,0,"Fair Catch","0","0",1
2018123006,2157,"NE",33234,"Matthew Slater","NYJ",43422,"Rashard Robinson",4.1,1,41.63,1.42667445480741,2.7928956417263,9.55,1,0,3.01380952380951,0,"Return","1","0",0
2018123006,2774,"NE",43700,"Jonathan Jones","NYJ",37212,"Buster Skrine",3.3,1,27.23,27.3519359461081,2.16086704920546,8.03,0,0,NA,0,"Fair Catch","0","0",1
2018123006,3725,"NYJ",43530,"Charone Peake","NE",46312,"Keion Crossen",4.1,1,43.71,3.13805672351537,3.00552358050578,9.94,0,0,NA,0,"Fair Catch","0","1",1
2018123007,586,"NO",46160,"Tre'Quan Smith","CAR",43351,"James Bradberry",2.8,1,27.63,4.23018912106776,2.61555573391871,9.31,0,0,NA,0,"Fair Catch","1","1",1
2018123007,2290,"NO",45648,"Justin Hardee","CAR",44965,"Corn Elder",2.7,1,34.9,3.42794399020754,2.85288773998347,9.35,0,0,NA,0,"Fair Catch","1","1",1
2018123008,394,"DAL",43501,"Kavon Frazier","NYG",42499,"Tony Lippett",4.1,1,30.5,2.99041803097827,2.67974676551213,9.19,0,0,NA,0,"Fair Catch","1","1",1
2018123009,290,"PIT",44906,"Cameron Sutton","CIN",43363,"KeiVarae Russell",6.9,1,39.92,13.9211637444576,1.90733519241687,8.61,0,0,NA,0,"Fair Catch","0","0",1
2018123009,756,"CIN",46239,"Darius Phillips","PIT",44986,"Brian Allen",11.3,1,43.25,8.58699598229788,3.04522169531401,10.47,0,0,7.85728813559322,10,"Return","1","1",0
2018123009,1176,"PIT",34458,"Darrius Heyward-Bey","CIN",46239,"Darius Phillips",6.9,1,28.78,6.62794840052335,2.0868493901056,7.42,0,0,-9.73704545454546,1,"Return","0","0",0
2018123009,1968,"CIN",45020,"Brandon Wilson","PIT",43314,"Artie Burns",3,1,41.22,2.3950782868207,2.65760880052169,9.8,0,0,NA,0,"Fair Catch","1","1",1
2018123009,2354,"PIT",44986,"Brian Allen","CIN",46239,"Darius Phillips",3.6,1,35.82,2.7594927070025,2.45520092425677,9.43,0,0,NA,0,"Fair Catch","1","1",1
2018123009,2752,"CIN",43363,"KeiVarae Russell","PIT",43314,"Artie Burns",3.7,1,38.48,10.2975968070225,2.43146424368083,9.41,0,0,NA,0,"Fair Catch","1","1",1
2018123010,823,"ATL",38707,"Justin Bethel","TB",43994,"De'Vante Harris",4.1,1,47.28,2.0768485741623,3.03795721135056,9.79,0,0,NA,0,"Fair Catch","0","0",1
2018123010,1005,"TB",43397,"Ryan Smith","ATL",46127,"Isaiah Oliver",3.4,1,39.66,1.54324333790884,2.81015625576554,10,0,0,NA,0,"Fair Catch","1","1",1
2018123010,3345,"TB",45334,"Bobo Wilson","ATL",46127,"Isaiah Oliver",6.8,1,41.59,2.89067466173556,2.59091612693495,9.24,0,0,NA,0,"Fair Catch","1","0",1
2018123011,1664,"TEN",46221,"Dane Cruikshank","IND",43554,"Chris Milton",2.4,1,31.67,3.34252898267165,2.88472474942763,10.3,0,0,NA,0,"Fair Catch","1","1",1
2018123011,2663,"TEN",46221,"Dane Cruikshank","IND",43554,"Chris Milton",4.9,1,33.31,5.54633212132126,3.07607851630311,10.1,0,0,NA,0,"Fair Catch","1","1",1
2018123011,2834,"TEN",46221,"Dane Cruikshank","IND",43554,"Chris Milton",4.2,1,50.76,3.34970147923661,3.35995096734815,10.4,1,0,-2.90055555555556,0,"Return","0","0",0
2018123012,608,"WAS",46984,"Adonis Alexander","PHI",43701,"Cre'von LeBlanc",3.7,1,35.99,3.4036597949854,2.87751296316361,9.2,1,0,0.902631578947364,2,"Return","1","1",0
2018123012,1090,"WAS",44952,"Jehu Chesson","PHI",46194,"Avonte Maddox",5.4,1,34.14,10.3229889082571,1.0644968102909,8.96,0,0,NA,0,"Fair Catch","1","1",1
2018123012,2104,"PHI",43416,"Deiondre' Hall","WAS",46984,"Adonis Alexander",4,1,32.32,7.75108379518633,3.25225300605359,9.45,0,0,NA,0,"Fair Catch","1","1",1
2018123012,2939,"PHI",43416,"Deiondre' Hall","WAS",46984,"Adonis Alexander",5,1,33.63,9.3696531419258,3.16204586609463,9.87,0,0,-7.85368421052632,11,"Return","0","0",0
2018123013,585,"DEN",46168,"Isaac Yiadom","LAC",46729,"Brandon Facyson",3.4,1,44.25,14.9989499632474,3.33370998937597,10.19,0,0,0.488947368421051,0,"Return","1","1",0
2018123013,1003,"LAC",45573,"Austin Ekeler","DEN",44913,"Brendan Langley",7.4,1,35.32,4.85093805361397,2.56703248535849,9.03,0,0,-5.11,0,"Return","0","0",0
2018123013,1221,"DEN",44913,"Brendan Langley","LAC",46729,"Brandon Facyson",3.8,1,31.88,7.68945381675448,3.28133204304136,10.13,0,0,NA,0,"Fair Catch","0","1",1
2018123013,2461,"DEN",44913,"Brendan Langley","LAC",44926,"Rayshawn Jenkins",4.9,1,30.7,4.19686787974079,2.76633341635395,9.62,0,0,NA,0,"Fair Catch","1","1",1
2018123013,2717,"LAC",45573,"Austin Ekeler","DEN",44913,"Brendan Langley",3.8,1,45.98,3.54464384670731,2.92534192818983,9.66,0,0,NA,0,"Fair Catch","0","0",1
2018123015,127,"ARI",45021,"Rudy Ford","SEA",44902,"Shaquill Griffin",4.2,1,43.77,4.01997512430115,3.14293355738772,10.17,0,0,NA,0,"Fair Catch","0","0",1
2018123015,1397,"ARI",43381,"Brandon Williams","SEA",42827,"Justin Coleman",4.2,1,34.45,20.0209015781008,2.99690731614084,9.23,0,0,NA,0,"Fair Catch","0","1",1
2018123015,1714,"SEA",39232,"Neiko Thorpe","ARI",43381,"Brandon Williams",3.6,1,42.87,10.2544039319699,3.18482455160016,10.34,0,0,-31.7973880597015,45,"Return","0","1",0
2018123015,2395,"ARI",45021,"Rudy Ford","SEA",39232,"Neiko Thorpe",3.8,1,40.49,13.2248289213887,3.45526839914715,10.74,0,0,NA,0,"Fair Catch","1","1",1
